county,school_dist,students_with_disabilities_final_grad_base,students_with_disabilities_graduates_total,students_with_disabilities_graduation_rate,students_with_disabilities_completers_total,students_with_disabilities_completion_rate,limited_english_proficient_final_grad_base,limited_english_proficient_graduates_total,limited_english_proficient_graduation_rate,limited_english_proficient_completers_total,limited_english_proficient_completion_rate,econ_disadvant_final_grad_base,econ_disadvant_graduates_total,econ_disadvant_graduation_rate,econ_disadvant_completers_total,econ_disadvant_completion_rate,migrant_final_grad_base,migrant_graduates_total,migrant_graduation_rate,migrant_completers_total,migrant_completion_rate,title_1_final_grad_base,title_1_graduates_total,title_1_graduation_rate,title_1_completers_total,title_1_completion_rate,homeless_final_grad_base,homeless_graduates_total,homeless_graduation_rate,homeless_completers_total,homeless_completion_rate,gifted_talented_final_grad_base,gifted_talented_graduates_total,gifted_talented_graduation_rate,gifted_talented_completers_total,gifted_talented_completion_rate
CHEYENNE,CHEYENNE COUNTY RE-5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,7.0,5.0,71.4,6.0,85.7,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAR CREEK,CLEAR CREEK RE-1,7.0,6.0,85.7,6.0,85.7,2.0,2.0,100.0,2.0,100.0,22.0,18.0,81.8,18.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,16.0,100.0
CONEJOS,NORTH CONEJOS RE-1J,11.0,11.0,100.0,11.0,100.0,1.0,1.0,100.0,1.0,100.0,64.0,57.0,89.1,57.0,89.1,0.0,0.0,0.0,0.0,0.0,69.0,63.0,91.3,63.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONEJOS,SANFORD 6J,3.0,1.0,33.3,2.0,66.7,0.0,0.0,0.0,0.0,0.0,10.0,7.0,70.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,5.0,100.0
CONEJOS,SOUTH CONEJOS RE-10,1.0,1.0,100.0,1.0,100.0,2.0,1.0,50.0,1.0,50.0,18.0,14.0,77.8,14.0,77.8,1.0,0.0,0.0,0.0,0.0,22.0,18.0,81.8,18.0,81.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
COSTILLA,CENTENNIAL R-1,1.0,1.0,100.0,1.0,100.0,10.0,10.0,100.0,10.0,100.0,14.0,13.0,92.9,13.0,92.9,0.0,0.0,0.0,0.0,0.0,17.0,15.0,88.2,15.0,88.2,4.0,4.0,100.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0
COSTILLA,SIERRA GRANDE R-30,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,7.0,100.0,16.0,14.0,87.5,14.0,87.5,1.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,3.0,100.0
CROWLEY,CROWLEY COUNTY RE-1-J,4.0,3.0,75.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,90.3,30.0,96.8,0.0,0.0,0.0,0.0,0.0,38.0,36.0,94.7,37.0,97.4,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0
CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,5.0,5.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,90.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,85.7,6.0,85.7
DELTA,DELTA COUNTY 50(J),44.0,30.0,68.2,30.0,68.2,30.0,22.0,73.3,22.0,73.3,238.0,188.0,79.0,193.0,81.1,5.0,5.0,100.0,5.0,100.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,5.0,50.0,40.0,39.0,97.5,39.0,97.5
DENVER,DENVER COUNTY 1,614.0,235.0,38.3,254.0,41.4,1000.0,527.0,52.7,543.0,54.3,3745.0,2010.0,53.7,2153.0,57.5,42.0,21.0,50.0,23.0,54.8,3581.0,1893.0,52.9,2036.0,56.9,283.0,95.0,33.6,106.0,37.5,905.0,720.0,79.6,747.0,82.5
DOLORES,DOLORES COUNTY RE NO.2,1.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,81.8,10.0,90.9,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0
DOUGLAS,DOUGLAS COUNTY RE 1,331.0,220.0,66.5,227.0,68.6,82.0,61.0,74.4,62.0,75.6,534.0,346.0,64.8,368.0,68.9,1.0,0.0,0.0,0.0,0.0,329.0,252.0,76.6,265.0,80.5,79.0,44.0,55.7,49.0,62.0,266.0,262.0,98.5,265.0,99.6
EAGLE,EAGLE COUNTY RE 50,31.0,18.0,58.1,18.0,58.1,142.0,68.0,47.9,68.0,47.9,149.0,113.0,75.8,113.0,75.8,2.0,2.0,100.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,63.6,7.0,63.6,45.0,43.0,95.6,44.0,97.8
ELBERT,ELIZABETH C-1,12.0,10.0,83.3,10.0,83.3,4.0,1.0,25.0,1.0,25.0,36.0,29.0,80.6,29.0,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,95.8,23.0,95.8
